animal,timestep,roi,side,value
5,27,aif,re,1501.942383
5,28,aif,re,1363.589111
5,29,aif,re,1346.139282
5,30,aif,re,1147.957642
5,31,aif,re,1217.757446
5,32,aif,re,1181.611084
5,33,aif,re,1235.207397
5,34,aif,re,1286.310791
5,35,aif,re,1237.700195
5,36,aif,re,1398.489136
5,37,aif,re,1454.578247
5,38,aif,re,1571.742188
5,39,aif,re,1570.495728
6,0,aif,re,1860.752441
6,1,aif,re,2000.841797
6,2,aif,re,1903.388306
6,3,aif,re,1896.282349
6,4,aif,re,1958.205933
6,5,aif,re,1950.084717
6,6,aif,re,2021.144531
6,7,aif,re,1940.948486
6,8,aif,re,1914.55481
6,9,aif,re,2062.765381
6,10,aif,re,1947.039307
6,11,aif,re,1960.236206
6,12,aif,re,1967.342163
6,13,aif,re,1512.559204
6,14,aif,re,765.415894
6,15,aif,re,778.612732
6,16,aif,re,1313.591675
6,17,aif,re,1882.070312
6,18,aif,re,1836.389038
6,19,aif,re,1708.481323
6,20,aif,re,1631.330688
6,21,aif,re,1505.453247
6,22,aif,re,1526.77124
6,23,aif,re,1701.375366
6,24,aif,re,1640.466919
6,25,aif,re,1768.374634
6,26,aif,re,1684.11792
6,27,aif,re,1731.82959
6,28,aif,re,1543.013428
6,29,aif,re,1809.995361
6,30,aif,re,1731.82959
6,31,aif,re,1638.436646
6,32,aif,re,1739.950684
6,33,aif,re,1690.208862
6,34,aif,re,1683.102783
6,35,aif,re,1744.01123
6,36,aif,re,1798.828857
6,37,aif,re,1646.557739
6,38,aif,re,1811.010498
6,39,aif,re,1789.692627
7,0,aif,re,1796.239868
7,1,aif,re,1812.179199
7,2,aif,re,1705.508301
7,3,aif,re,1705.508301
7,4,aif,re,1818.309692
7,5,aif,re,1726.352051
7,6,aif,re,1666.273071
7,7,aif,re,1709.186646
7,8,aif,re,1721.447632
7,9,aif,re,1766.813354
7,10,aif,re,1732.482544
7,11,aif,re,1671.177368
7,12,aif,re,1732.482544
7,13,aif,re,1748.421875
7,14,aif,re,1235.911133
7,15,aif,re,393.578827
7,16,aif,re,339.630341
7,17,aif,re,463.466675
7,18,aif,re,809.227539
7,19,aif,re,1261.659302
7,20,aif,re,1569.410889
7,21,aif,re,1478.679321
7,22,aif,re,1246.946045
7,23,aif,re,1074.065674
7,24,aif,re,979.655762
7,25,aif,re,1042.187012
7,26,aif,re,1092.457153
7,27,aif,re,1192.997559
7,28,aif,re,1331.547119
7,29,aif,re,1359.747437
7,30,aif,re,1372.008423
7,31,aif,re,1360.973511
7,32,aif,re,1278.824707
7,33,aif,re,1345.03418
7,34,aif,re,1298.442383
7,35,aif,re,1353.616943
7,36,aif,re,1505.653564
7,37,aif,re,1379.365112
7,38,aif,re,1472.548828
7,39,aif,re,1506.879761
8,0,aif,re,2116.282471
8,1,aif,re,2030.932861
8,2,aif,re,2067.78833
8,3,aif,re,2075.547363
8,4,aif,re,2067.78833
8,5,aif,re,1986.318359
8,6,aif,re,2151.198242
8,7,aif,re,2085.246338
8,8,aif,re,2091.065674
8,9,aif,re,2001.836426
8,10,aif,re,2127.921143
8,11,aif,re,2079.427002
8,12,aif,re,2077.487305
8,13,aif,re,2160.897217
8,14,aif,re,1776.823853
8,15,aif,re,874.833557
