animal,timestep,roi,side,value
1,27,h,re,2012.913696
1,28,h,re,2032.214722
1,29,h,re,2037.478394
1,30,h,re,2050.813965
1,31,h,re,1962.731201
1,32,h,re,2044.49707
1,33,h,re,2036.776611
1,34,h,re,2055.375732
1,35,h,re,2062.043213
1,36,h,re,2111.875
1,37,h,re,2027.301514
1,38,h,re,2058.88501
1,39,h,re,2059.586914
1,0,h,li,2297.093994
1,1,h,li,2366.506836
1,2,h,li,2282.968994
1,3,h,li,2284.986816
1,4,h,li,2318.482666
1,5,h,li,2342.696533
1,6,h,li,2317.271973
1,7,h,li,2290.636963
1,8,h,li,2342.696777
1,9,h,li,2306.375488
1,10,h,li,2351.574951
1,11,h,li,2274.897705
1,12,h,li,2324.132568
1,13,h,li,2284.986816
1,14,h,li,2321.307617
1,15,h,li,2297.497559
1,16,h,li,2040.426147
1,17,h,li,2043.251343
1,18,h,li,1975.049072
1,19,h,li,2192.570557
1,20,h,li,2151.810059
1,21,h,li,2282.161621
1,22,h,li,2300.32251
1,23,h,li,2167.549316
1,24,h,li,2192.166748
1,25,h,li,2243.016113
1,26,h,li,2215.977051
1,27,h,li,2230.101807
1,28,h,li,2276.915527
1,29,h,li,2280.144043
1,30,h,li,2239.787598
1,31,h,li,2275.30127
1,32,h,li,2249.06958
1,33,h,li,2206.695068
1,34,h,li,2234.541016
1,35,h,li,2274.897949
1,36,h,li,2290.636963
1,37,h,li,2243.016113
1,38,h,li,2247.051514
1,39,h,li,2241.805176
1,0,nc,re,2300.770752
1,1,nc,re,2320.052246
1,2,nc,re,2257.723633
1,3,nc,re,2304.358154
1,4,nc,re,2283.282959
1,5,nc,re,2321.845703
1,6,nc,re,2314.222656
1,7,nc,re,2311.084229
1,8,nc,re,2261.759277
1,9,nc,re,2344.714355
1,10,nc,re,2278.798828
1,11,nc,re,2241.581055
1,12,nc,re,2311.083984
1,13,nc,re,2297.631836
1,14,nc,re,2217.81543
1,15,nc,re,2100.333008
1,16,nc,re,2025.897583
1,17,nc,re,1975.227905
1,18,nc,re,2140.241211
1,19,nc,re,2307.496826
1,20,nc,re,2260.862549
1,21,nc,re,2230.370605
1,22,nc,re,2192.70459
1,23,nc,re,2167.145508
1,24,nc,re,2168.939209
1,25,nc,re,2177.907227
1,26,nc,re,2259.069092
1,27,nc,re,2212.883545
1,28,nc,re,2247.410156
1,29,nc,re,2274.763184
1,30,nc,re,2277.005127
1,31,nc,re,2256.378418
1,32,nc,re,2248.307373
1,33,nc,re,2329.916992
1,34,nc,re,2265.346436
1,35,nc,re,2226.783691
1,36,nc,re,2206.605225
1,37,nc,re,2286.421631
1,38,nc,re,2277.004883
1,39,nc,re,2260.414062
1,0,nc,li,2372.964111
1,1,nc,li,2322.922119
1,2,nc,li,2404.710938
1,3,nc,li,2355.207031
1,4,nc,li,2352.516602
1,5,nc,li,2322.383789
1,6,nc,li,2337.988281
1,7,nc,li,2343.907227
1,8,nc,li,2364.892822
1,9,nc,li,2364.354492
1,10,nc,li,2325.612305
1,11,nc,li,2328.84082
1,12,nc,li,2359.511719
1,13,nc,li,2315.388916
1,14,nc,li,2303.012695
1,15,nc,li,2192.166992
1,16,nc,li,2002.222046
1,17,nc,li,2037.197754
1,18,nc,li,2122.753418
1,19,nc,li,2230.90918
1,20,nc,li,2312.1604
1,21,nc,li,2373.502197
1,22,nc,li,2282.0271
1,23,nc,li,2251.894287
1,24,nc,li,2204.004639
1,25,nc,li,2244.361572
1,26,nc,li,2227.680664
1,27,nc,li,2261.041992
1,28,nc,li,2292.788818
1,29,nc,li,2219.609131
1,30,nc,li,2370.811768
1,31,nc,li,2310.545898
1,32,nc,li,2254.046631
1,33,nc,li,2352.516846
1,34,nc,li,2367.045166
1,35,nc,li,2328.840576
1,36,nc,li,2294.40332
1,37,nc,li,2276.108398
1,38,nc,li,2305.164795
1,39,nc,li,2228.756836
1,0,th,re,1968.390015
1,1,th,re,1989.577271
1,2,th,re,1993.108521
1,3,th,re,2028.924438
1,4,th,re,2002.188354
1,5,th,re,1988.063477
1,6,th,re,1980.49646
1,7,th,re,1949.977051
1,8,th,re,2002.692871
1,9,th,re,1964.858521
1,10,th,re,2016.56543
1,11,th,re,2033.212524
1,12,th,re,1995.882446
1,13,th,re,2044.562744
1,14,th,re,1994.621704
1,15,th,re,1917.439575
1,16,th,re,1800.658203
1,17,th,re,1741.888428
1,18,th,re,1812.260376
1,19,th,re,1961.327393
1,20,th,re,1982.262207
1,21,th,re,2029.933716
1,22,th,re,1979.992676
1,23,th,re,1885.406494
1,24,th,re,1972.425537
1,25,th,re,1951.742798
1,26,th,re,1961.579712
1,27,th,re,2010.007324
1,28,th,re,1932.069092
1,29,th,re,1901.045044
1,30,th,re,1952.247314
1,31,th,re,1965.110962
1,32,th,re,1950.986328
1,33,th,re,1996.134766
1,34,th,re,2003.70166
1,35,th,re,2008.242065
1,36,th,re,1954.012939
1,37,th,re,1954.51709
1,38,th,re,1993.108521
1,39,th,re,1977.470093
1,0,th,li,2050.43457
1,1,th,li,2047.206421
1,2,th,li,2036.229248
1,3,th,li,2058.18335
1,4,th,li,2010.400879
1,5,th,li,2013.629517
1,6,th,li,2049.788818
1,7,th,li,1992.966675
1,8,th,li,2012.661133
1,9,th,li,2098.216797
1,10,th,li,2048.820557
1,11,th,li,2031.38623
1,12,th,li,2049.466064
1,13,th,li,2120.816406
1,14,th,li,2075.616943
1,15,th,li,2027.512085
1,16,th,li,1886.103149
1,17,th,li,1793.76709
1,18,th,li,1892.882812
1,19,th,li,2009.755127
1,20,th,li,2125.65918
1,21,th,li,2003.943848
1,22,th,li,2043.331665
1,23,th,li,2023.314941
1,24,th,li,1982.958618
1,25,th,li,1964.23291
1,26,th,li,1990.061523
1,27,th,li,2044.300659
1,28,th,li,2003.620972
1,29,th,li,1967.461548
1,30,th,li,2015.243774
1,31,th,li,1983.927002
1,32,th,li,2029.449219
1,33,th,li,1981.98999
1,34,th,li,2051.40332
1,35,th,li,2051.080566
1,36,th,li,2026.866455
1,37,th,li,2047.206299
1,38,th,li,2060.119873
1,39,th,li,2002.00708
1,0,lp,re,2441.431152
1,1,lp,re,2354.31665
